type,uri,dc.identifier,collections,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf,seeAlso
skos:ConceptScheme,conceptscheme:bemonsteringsprocedure,bemonsteringsprocedure,,,Codelijst bemonsteringsprocedure.,,,,,,,Beschrijving welke procedure werd gevolgd bij de bemonstering.,,,,,,,,,,,,,,
skos:Collection,collectie:bemonsteringsprocedures,bemonsteringsprocedures,,,Collectie van bemonsteringsprocedures.,,,,,,,,,,,,,conceptscheme:bemonsteringsprocedure,,,,,,,,
skos:Concept,concept:boc,boc,collectie:bemonsteringsprocedures,boc,Compendium BOC,,,,,,,,,,,,,conceptscheme:bemonsteringsprocedure,,,,,,,conceptscheme:bemonsteringsprocedure,bodembescherming-gop:compendium-boc
skos:Concept,concept:bam,bam,collectie:bemonsteringsprocedures,bam,Compendium BAM,,,,,,,,,,,,,conceptscheme:bemonsteringsprocedure,,,,,,,conceptscheme:bemonsteringsprocedure,mest-bodem-veevoeder:compendium-bam
skos:Concept,concept:wac,wac,collectie:bemonsteringsprocedures,wac,Compendium WAC,,,,,,,,,,,,,conceptscheme:bemonsteringsprocedure,,,,,,,conceptscheme:bemonsteringsprocedure,water-gop:compendium-wac
skos:Concept,concept:cma,cma,collectie:bemonsteringsprocedures,cma,Compendium CMA,,,,,,,,,,,,,conceptscheme:bemonsteringsprocedure,,,,,,,conceptscheme:bemonsteringsprocedure,bodem-afvalstoffen-ovam:compendium-cma
skos:Concept,concept:cam2019,cam2019,collectie:bemonsteringsprocedures,cam2019,Code van Goede Praktijk voor Archeologie en Metaaldetectie,,,,,,,,,,,,,conceptscheme:bemonsteringsprocedure,,,,,,,conceptscheme:bemonsteringsprocedure,https://www.onroerenderfgoed.be/sites/default/files/2019-03/CGP_V4_geen_TC_20190322.pdf
skos:Concept,concept:22475-1-2021,22475-1-2021,collectie:bemonsteringsprocedures,22475-1-2021,NBN EN ISO 22475-1:2021,,,,,,,,,,,,,conceptscheme:bemonsteringsprocedure,,,,,,,conceptscheme:bemonsteringsprocedure,https://app.nbn.be/data/r/platform/frontend/detail?p40_id=188163&p40_language_code=en&p40_detail_id=98267
skos:Concept,concept:22475-1-2007,22475-1-2007,collectie:bemonsteringsprocedures,22475-1-2007,NBN EN ISO 22475-1:2007,,,,,,,,,,,,,conceptscheme:bemonsteringsprocedure,,,,,,,conceptscheme:bemonsteringsprocedure,https://app.nbn.be/data/r/platform/frontend/detail?p40_id=241294&p40_language_code=nl&p40_detail_id=36579
skos:Concept,concept:5119-1991,5119-1991,collectie:bemonsteringsprocedures,5119-1991,NEN 5119:1991,,,,,,,,,,,,,conceptscheme:bemonsteringsprocedure,,,,,,,conceptscheme:bemonsteringsprocedure,https://www.nen.nl/en/nen-5119-1991-nl-7926
skos:Concept,concept:csp-1.1,csp-1.1,collectie:bemonsteringsprocedures,csp-1.1,Cmon staalnameprotocol,,,,,,,,,,,,,conceptscheme:bemonsteringsprocedure,,,,,,,conceptscheme:bemonsteringsprocedure,https://omgeving.vlaanderen.be/sites/default/files/2023-05/protocol%20staalname%20Cmon%201.1%20-%20werkdocument.pdf
